Name,AssetType,AssetPath,FolderCategory,ConstructionClass,RelationRole,SuggestedSupportType,PivotType,SnapToGround,ScaleLooksMetric,NeedsScaleCheck,PlacementNotes,ChildCount,RendererCount,MeshCount,MaterialCount,MaterialNames,HasCollider,ColliderCount,HasRigidbody,RigidbodyCount,HasAnimator,HasLegacyAnimation,AnimationClipCount,AnimationClipNames,SizeX,SizeY,SizeZ,Labels
"SM_Tarp03","Model","Assets/ConstructionSite/Meshes/Building/SM_Tarp03.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",1.1543,8.0595,4.1908,""
"SM_Tarp04","Prefab","Assets/ConstructionSite/Prefab/Building/SM_Tarp04.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Tarp",True,1,False,0,False,False,0,"",0.8408,4.9837,4.0714,""
"SM_Tarp04","Model","Assets/ConstructionSite/Meshes/Building/SM_Tarp04.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",0.8408,5.0008,4.1058,""
"SM_Tarp05","Prefab","Assets/ConstructionSite/Prefab/Building/SM_Tarp05.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Tarp",True,1,False,0,False,False,0,"",0.9803,9.1676,4.3499,""
"SM_Tarp05","Model","Assets/ConstructionSite/Meshes/Building/SM_Tarp05.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",1.0011,9.1853,4.3738,""
"SM_Tarp06","Prefab","Assets/ConstructionSite/Prefab/Building/SM_Tarp06.prefab","building","building_element","support_or_anchor","structural_support","offset",False,True,False,"pivot may need placement offset correction",4,4,4,1,"M_Tarp",True,1,False,0,False,False,0,"",1.1757,6.6177,4.1247,""
"SM_Tarp06","Model","Assets/ConstructionSite/Meshes/Building/SM_Tarp06.FBX","building","building_element","support_or_anchor","structural_support","offset",False,True,False,"pivot may need placement offset correction",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",1.1825,6.6519,4.1390,""
"SM_Tarp07","Prefab","Assets/ConstructionSite/Prefab/Building/SM_Tarp07.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Tarp",True,1,False,0,False,False,0,"",2.0118,5.9165,5.2103,""
"SM_Tarp07","Model","Assets/ConstructionSite/Meshes/Building/SM_Tarp07.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",2.0118,5.9346,5.2237,""
"SM_Tarp08","Prefab","Assets/ConstructionSite/Prefab/Building/SM_Tarp08.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Tarp",True,1,False,0,False,False,0,"",0.5940,8.2092,4.0251,""
"SM_Tarp08","Model","Assets/ConstructionSite/Meshes/Building/SM_Tarp08.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",0.6241,8.2317,4.0575,""
"SM_Tarp09","Prefab","Assets/ConstructionSite/Prefab/Building/SM_Tarp09.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Tarp",True,1,False,0,False,False,0,"",6.7152,0.4093,4.9594,""
"SM_Tarp09","Model","Assets/ConstructionSite/Meshes/Building/SM_Tarp09.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",6.7359,0.4351,4.9687,""
"SM_Tarp10","Prefab","Assets/ConstructionSite/Prefab/Building/SM_Tarp10.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Tarp",True,1,False,0,False,False,0,"",6.5160,0.4825,5.0369,""
"SM_Tarp10","Model","Assets/ConstructionSite/Meshes/Building/SM_Tarp10.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",6.5330,0.4900,5.0539,""
"SM_Tarp11","Prefab","Assets/ConstructionSite/Prefab/Building/SM_Tarp11.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Tarp",True,1,False,0,False,False,0,"",6.3438,0.5222,4.6488,""
"SM_Tarp11","Model","Assets/ConstructionSite/Meshes/Building/SM_Tarp11.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",6.3600,0.5281,4.6758,""
"SM_Tarp12","Prefab","Assets/ConstructionSite/Prefab/Building/SM_Tarp12.prefab","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",4,4,4,1,"M_Tarp",True,1,False,0,False,False,0,"",4.4279,0.6701,4.5991,""
"SM_Tarp12","Model","Assets/ConstructionSite/Meshes/Building/SM_Tarp12.FBX","building","building_element","support_or_anchor","structural_support","bottom_centered",False,True,False,"",5,5,5,1,"Lit",False,0,False,0,False,False,0,"",4.4486,0.7071,4.6107,""
"SM_ConcreteFloor01","Prefab","Assets/ConstructionSite/Prefab/Building/SM_ConcreteFloor01.prefab","building","ground","support_anchor","ground","offset",False,True,False,"pivot may need placement offset correction",4,4,4,1,"M_Concrete",True,1,False,0,False,False,0,"",4.0029,0.3002,4.0021,""
